2011,abreb001,Abreu,Bobby,L,R,ANA,OF
2011,amara001,Amarista,Alexi,L,R,ANA,2B
2011,aybae001,Aybar,Erick,B,R,ANA,SS
2011,bellt002,Bell,Trevor,L,R,ANA,P
2011,bourp001,Bourjos,Peter,R,R,ANA,OF
2011,branr001,Branyan,Russell,L,R,ANA,3B
2011,bulgj001,Bulger,Jason,R,R,ANA,P
2011,calla001,Callaspo,Alberto,B,R,ANA,2B
2011,cassb001,Cassevah,Bobby,R,R,ANA,P
2011,chatt001,Chatwood,Tyler,R,R,ANA,P
2011,congh001,Conger,Hank,B,R,ANA,C
2011,downs001,Downs,Scott,L,L,ANA,P
2011,hared001,Haren,Dan,R,R,ANA,P
2011,huntt001,Hunter,Torii,R,R,ANA,CF
2011,iztum001,Izturis,Maicer,B,R,ANA,SS
2011,jepsk001,Jepsen,Kevin,R,R,ANA,P
2011,kazms001,Kazmir,Scott,L,L,ANA,P
2011,kendh001,Kendrick,Howard,R,R,ANA,2B
2011,kohnm001,Kohn,Michael,R,R,ANA,P
2011,mathj001,Mathis,Jeff,R,R,ANA,C
2011,moorj001,Moore,Jeremy,L,R,ANA,OF
2011,navae001,Navarro,Efren,L,L,ANA,1B
2011,palmm001,Palmer,Matt,R,R,ANA,P
2011,pettc001,Pettit,Chris,R,R,ANA,OF
2011,pinej001,Pineiro,Joel,R,R,ANA,P
2011,ramih002,Ramirez,Horacio,L,L,ANA,P
2011,richg002,Richards,Garrett,R,R,ANA,P
2011,rodnf001,Rodney,Fernando,R,R,ANA,P
2011,rodrf005,Rodriguez,Francisco,R,R,ANA,P
2011,romia001,Romine,Andrew,B,R,ANA,SS
2011,sante001,Santana,Ervin,R,R,ANA,P
2011,takah001,Takahashi,Hisanori,L,L,ANA,P
2011,thomr006,Thompson,Rich,R,R,ANA,P
2011,troum001,Trout,Mike,R,R,ANA,OF
2011,trumm001,Trumbo,Mark,R,R,ANA,1B
2011,velag002,Velazquez,Gil,R,R,ANA,SS
2011,waldj001,Walden,Jordan,R,R,ANA,P
2011,weavj003,Weaver,Jered,R,R,ANA,P
2011,wellv001,Wells,Vernon,R,R,ANA,OF
2011,willj003,Williams,Jerome,R,R,ANA,P
2011,willr004,Willits,Reggie,B,R,ANA,OF
2011,wilsb002,Wilson,Bobby,R,R,ANA,C
2011,woodb003,Wood,Brandon,R,R,ANA,3B
2011,alleb001,Allen,Brandon,L,R,ARI,1B
2011,blanh001,Blanco,Henry,R,R,ARI,C
2011,bloow001,Bloomquist,Willie,R,R,ARI,2B
2011,blumg001,Blum,Geoff,B,R,ARI,3B
2011,branr001,Branyan,Russell,L,R,ARI,3B
2011,brazy001,Brazoban,Yhency,R,R,ARI,P
2011,burrs001,Burroughs,Sean,L,R,ARI,3B
2011,casta002,Castillo,Alberto,L,L,ARI,P
2011,collj001,Collmenter,Josh,R,R,ARI,P
2011,cookr001,Cook,Ryan,R,R,ARI,P
2011,cowgc001,Cowgill,Collin,R,L,ARI,OF
2011,demes001,Demel,Sam,R,R,ARI,P
2011,drews001,Drew,Stephen,L,R,ARI,SS
2011,dukez001,Duke,Zach,L,L,ARI,P
2011,enrib001,Enright,Barry,R,R,ARI,P
2011,galaa002,Galarraga,Armando,R,R,ARI,P
2011,gillc002,Gillespie,Cole,R,R,ARI,OF
2011,goldp001,Goldschmidt,Paul,R,R,ARI,1B
2011,gutij002,Gutierrez,Juan,R,R,ARI,P
2011,hammr001,Hammock,Robby,R,R,ARI,C
2011,heila001,Heilman,Aaron,R,R,ARI,P
2011,hernd002,Hernandez,David,R,R,ARI,P
2011,hilla001,Hill,Aaron,R,R,ARI,2B
2011,hudsd001,Hudson,Daniel,R,R,ARI,P
2011,johnk003,Johnson,Kelly,L,R,ARI,OF
2011,kenni001,Kennedy,Ian,R,R,ARI,P
2011,kroez001,Kroenke,Zach,R,L,ARI,P
2011,marqj001,Marquis,Jason,L,R,ARI,P
2011,mcdoj003,McDonald,John,R,R,ARI,SS
2011,mickk001,Mickolio,Kameron,R,R,ARI,P
2011,milew001,Miley,Wade,L,L,ARI,P
2011,miraj001,Miranda,Juan,L,L,ARI,1B
2011,montm001,Montero,Miguel,L,R,ARI,C
2011,moram002,Mora,Melvin,R,R,ARI,3B
2011,nadyx001,Nady,Xavier,R,R,ARI,OF
2011,overl001,Overbay,Lyle,L,L,ARI,1B
2011,owinm001,Owings,Micah,R,R,ARI,P
2011,parkj001,Parker,Jarrod,R,R,ARI,P
